csv
Treatments,CO2
Control,32.032
Control,26.065
Control,29.044
Control,32.767
Control,30.533
Control,52.13
Control+F,31.278
Control+F,38.752
Control+F,26.81
Control+F,33.512
Control+F,29.044
Control+F,26.065
WBC,64.045
WBC,64.79
WBC,58.087
WBC,61.811
WBC,64.045
WBC,55.109
WBC+F,72.237
WBC+F,100.536
WBC+F,67.024
WBC+F,68.513
WBC+F,99.791
WBC+F,70.747
BBC,128.09
BBC,122.132
BBC,121.388
BBC,121.388
BBC,119.898
BBC,123.622
BBC+F,132.558
BBC+F,133.303
BBC+F,134.048
BBC+F,127.345
BBC+F,131.069
BBC+F,125.856
PHBC,52.13
PHBC,53.619
PHBC,58.832
PHBC,57.343
PHBC,59.577
PHBC,60.322
PHBC+F,67.024
PHBC+F,60.322
PHBC+F,61.066
PHBC+F,61.811
PHBC+F,61.066
PHBC+F,62.566
